date;views;youtube_video_id;title
20210722;85;4bYba5sVJEQ;英法就堵截難民經英倫海峽偷渡達成協議 - 20210721 - 兩岸國際 - 有線新聞 CABLE News
20210722;67;6MeNYC8VIu4;利物浦海上商城過度發展　從世遺名錄除名 - 20210721 - 兩岸國際 - 有線新聞 CABLE News
20210722;118;Qj6HcxCTqFw;美國白宮職員及眾議院議長幕僚　打齊針仍確診新型肺炎 - 20210721 - 兩岸國際 - 有線新聞 CABLE News
20210722;136;I7OTvHrsRC4;律師會改選　黃巧欣組五人名單尋求連任　政協袁凱英出選：不談政治 - 20210721 - 港聞 - 有線新聞 CABLE News
20210722;278;3ZpqMkgiuYE;衛報：綠色及黃色名單入境人士不用接受例行防疫檢查 - 20210721 - 兩岸國際 - 有線新聞 CABLE News
20210722;545;zbdNop0A7gY;英國龍頭晶片廠被中資收購　政府叫停資助 - 20210721 - 兩岸國際 - 有線新聞 CABLE News
20210722;181;tPLS0YbTIns;申訴專員揭食環防治蚊鼠有不足　公布指數含意模糊、巡查馬虎　倡制訂蚊患級別、檢討監管工作守則 - 20210722 - 港聞 - 有線新聞 CABLE News
20210722;361;6uNMAmLv58E;美國鴉片類藥物訴訟 強生及分銷商付260億美元和解 - 20210722 - 兩岸國際 - 有線新聞 CABLE News
20210722;583;Ru3kXKPrJE8;東京奧運前夕開幕禮總監因失言被辭退 - 20210722 - 兩岸國際 - 有線新聞 CABLE News
20210722;149;5lcMKq7x7Cw;銀保監要求做好水災保險賠償工作 - 20210722 - 有線財經 - 有線新聞 CABLE News
20210722;658;tUDCeXwzQPI;唐英傑案　官稱即使「光時」有多種解讀　會否惹煽動效果最關鍵　下周二裁決 - 20210720 - 港聞 - 有線新聞 CABLE News
20210722;201;gs2VmqRjRbE;《關於優化生育政策促進人口長期均衡發展的決定》發布 - 20210720 - 有線中國組 - 有線新聞 CABLE News
20210722;277;MEHQaZHvubU;國安處拘一名前報社編輯　據悉為前《蘋果日報》執行總編林文宗 - 20210721 - 港聞 - 有線新聞 CABLE News
20210722;233;6eZAY5uUXtw;前年涉藏汽油彈等工具　倉務員認罪判囚五年 - 20210721 - 港聞 - 有線新聞 CABLE News
20210722;424;p6UTyiwBqx8;男子倒斃油麻地酒店　頸部四肢有刀傷　現場檢獲一把刀 - 20210721 - 港聞 - 有線新聞 CABLE News
20210722;388;cpigEllWT0M;蔡展鵬疑光顧無牌按摩店　四人被控管理賣淫場所等罪　續准保釋至9月再訊 - 20210721 - 港聞 - 有線新聞 CABLE News
20210722;372;rAP8Vpqgwqk;中大二號橋衝突　兩大專生暴動罪成　分別判囚四年半及三年九個月 - 20210721 - 港聞 - 有線新聞 CABLE News
